epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.121,0.6384,0.41202,0.82726,0.89484,0.69443,0.70889,0.57095,0.54819,0.2871,0.82262,0.000475077,0.000475077,0.000475077
2,240.836,0.56021,0.30465,0.81005,0.75132,0.69804,0.70233,0.57789,0.55738,0.2949,0.82041,0.00085722,0.00085722,0.00085722
3,349.811,0.54364,0.30034,0.80995,0.79085,0.70087,0.70158,0.58924,0.50834,0.27204,0.81496,0.00114505,0.00114505,0.00114505
4,457.208,0.51806,0.29295,0.80502,0.8727,0.701,0.71652,0.60535,0.47417,0.26421,0.81306,0.00100459,0.00100459,0.00100459
5,565.462,0.49373,0.2759,0.79929,0.82499,0.70296,0.71378,0.60486,0.46551,0.25768,0.8093,0.000863116,0.000863116,0.000863116
6,671.675,0.47484,0.26428,0.79984,0.88672,0.70901,0.73107,0.61858,0.44604,0.24223,0.81075,0.000721645,0.000721645,0.000721645
7,780.555,0.45664,0.25368,0.79714,0.90761,0.70464,0.74377,0.6221,0.45081,0.24238,0.8091,0.000580174,0.000580174,0.000580174
8,887.944,0.4381,0.24047,0.79439,0.87931,0.70887,0.73195,0.62656,0.42395,0.22675,0.80565,0.000438703,0.000438703,0.000438703
9,998.075,0.42353,0.23292,0.79179,0.90427,0.71264,0.73323,0.62609,0.40794,0.21521,0.8034,0.000297232,0.000297232,0.000297232
10,1105.47,0.40522,0.22136,0.79008,0.89194,0.70747,0.73652,0.63294,0.39467,0.20757,0.8021,0.000155761,0.000155761,0.000155761
